batch	avg_loss	avg_acc	batch_acc	perp
71	2.721	0.109	0.100	15.197
72	2.721	0.109	0.097	15.193
73	2.721	0.109	0.121	15.197
74	2.721	0.109	0.111	15.197
75	2.721	0.109	0.114	15.193
76	2.721	0.109	0.088	15.200
77	2.721	0.109	0.101	15.197
78	2.721	0.108	0.098	15.198
79	2.721	0.108	0.104	15.193
80	2.721	0.108	0.102	15.196
81	2.720	0.108	0.100	15.187
82	2.720	0.108	0.125	15.184
83	2.720	0.108	0.096	15.184
84	2.721	0.108	0.090	15.195
85	2.721	0.108	0.088	15.196
86	2.721	0.108	0.096	15.202
87	2.722	0.108	0.092	15.208
88	2.722	0.107	0.094	15.206
89	2.721	0.108	0.133	15.198
90	2.721	0.108	0.115	15.193
91	2.721	0.108	0.105	15.201
92	2.721	0.108	0.119	15.195
93	2.721	0.108	0.117	15.192
94	2.721	0.108	0.117	15.189
95	2.721	0.108	0.107	15.190
96	2.721	0.108	0.121	15.189
97	2.720	0.108	0.107	15.188
98	2.721	0.108	0.082	15.191
99	2.721	0.108	0.113	15.188
100	2.720	0.108	0.094	15.186
101	2.720	0.108	0.132	15.184
102	2.720	0.108	0.102	15.181
103	2.720	0.108	0.100	15.183
104	2.720	0.108	0.094	15.184
105	2.720	0.108	0.119	15.183
106	2.720	0.108	0.130	15.180
107	2.720	0.108	0.120	15.174
108	2.719	0.108	0.107	15.171
109	2.719	0.108	0.109	15.169
110	2.720	0.108	0.121	15.174
111	2.720	0.108	0.107	15.175
112	2.720	0.108	0.125	15.173
113	2.719	0.108	0.113	15.173
114	2.719	0.109	0.124	15.171
115	2.720	0.108	0.092	15.173
116	2.719	0.108	0.109	15.171
117	2.720	0.108	0.103	15.174
118	2.719	0.109	0.127	15.170
119	2.719	0.108	0.094	15.169
120	2.719	0.109	0.138	15.164
121	2.719	0.109	0.104	15.165
122	2.720	0.108	0.076	15.174
123	2.719	0.108	0.072	15.170
124	2.719	0.108	0.092	15.169
125	2.719	0.108	0.125	15.165
126	2.719	0.108	0.104	15.163
127	2.719	0.108	0.092	15.164
128	2.719	0.108	0.100	15.165
129	2.719	0.108	0.129	15.161
130	2.718	0.108	0.113	15.152
131	2.718	0.108	0.083	15.151
